symbol,conviction_level,signal_count,position_size_pct,total_signals
CBA.AX,1,239,20.0,429
CBA.AX,2,128,25.0,429
CBA.AX,3,44,30.0,429
CBA.AX,4,18,35.0,429
BHP.AX,1,180,20.0,463
BHP.AX,2,216,25.0,463
BHP.AX,3,43,30.0,463
BHP.AX,4,24,35.0,463
CSL.AX,1,157,20.0,266
CSL.AX,2,74,25.0,266
CSL.AX,3,26,30.0,266
CSL.AX,4,9,35.0,266
WBC.AX,1,174,20.0,390
WBC.AX,2,167,25.0,390
WBC.AX,3,37,30.0,390
WBC.AX,4,12,35.0,390
ANZ.AX,1,186,20.0,367
ANZ.AX,2,130,25.0,367
ANZ.AX,3,36,30.0,367
ANZ.AX,4,15,35.0,367
NAB.AX,1,236,20.0,445
NAB.AX,2,164,25.0,445
NAB.AX,3,31,30.0,445
NAB.AX,4,14,35.0,445
WES.AX,1,220,20.0,434
WES.AX,2,159,25.0,434
WES.AX,3,37,30.0,434
WES.AX,4,18,35.0,434
MQG.AX,1,202,20.0,427
MQG.AX,2,168,25.0,427
MQG.AX,3,38,30.0,427
MQG.AX,4,19,35.0,427
WOW.AX,1,174,20.0,344
WOW.AX,2,123,25.0,344
WOW.AX,3,38,30.0,344
WOW.AX,4,9,35.0,344
FMG.AX,1,211,20.0,529
FMG.AX,2,235,25.0,529
FMG.AX,3,62,30.0,529
FMG.AX,4,21,35.0,529
TLS.AX,1,165,20.0,318
TLS.AX,2,115,25.0,318
TLS.AX,3,31,30.0,318
TLS.AX,4,7,35.0,318
RIO.AX,1,155,20.0,420
RIO.AX,2,184,25.0,420
RIO.AX,3,52,30.0,420
RIO.AX,4,29,35.0,420
COL.AX,1,149,20.0,279
COL.AX,2,100,25.0,279
COL.AX,3,26,30.0,279
COL.AX,4,4,35.0,279
GMG.AX,1,216,20.0,452
GMG.AX,2,157,25.0,452
GMG.AX,3,50,30.0,452
GMG.AX,4,29,35.0,452
QBE.AX,1,244,20.0,466
QBE.AX,2,164,25.0,466
QBE.AX,3,43,30.0,466
QBE.AX,4,15,35.0,466
STO.AX,1,162,20.0,385
STO.AX,2,153,25.0,385
STO.AX,3,57,30.0,385
STO.AX,4,13,35.0,385
REA.AX,1,216,20.0,461
REA.AX,2,168,25.0,461
REA.AX,3,52,30.0,461
REA.AX,4,25,35.0,461
JHX.AX,1,194,20.0,491
JHX.AX,2,205,25.0,491
JHX.AX,3,58,30.0,491
JHX.AX,4,34,35.0,491
ALL.AX,1,218,20.0,433
ALL.AX,2,155,25.0,433
ALL.AX,3,43,30.0,433
ALL.AX,4,17,35.0,433
XRO.AX,1,159,20.0,407
XRO.AX,2,169,25.0,407
XRO.AX,3,52,30.0,407
XRO.AX,4,27,35.0,407
IAG.AX,1,158,20.0,318
IAG.AX,2,111,25.0,318
IAG.AX,3,36,30.0,318
IAG.AX,4,13,35.0,318
COH.AX,1,201,20.0,432
COH.AX,2,163,25.0,432
COH.AX,3,55,30.0,432
COH.AX,4,13,35.0,432
WTC.AX,1,190,20.0,529
WTC.AX,2,244,25.0,529
WTC.AX,3,60,30.0,529
WTC.AX,4,35,35.0,529
RMD.AX,1,134,20.0,313
RMD.AX,2,137,25.0,313
RMD.AX,3,31,30.0,313
RMD.AX,4,11,35.0,313
PME.AX,1,219,20.0,566
PME.AX,2,238,25.0,566
PME.AX,3,68,30.0,566
PME.AX,4,41,35.0,566
JBH.AX,1,215,20.0,436
JBH.AX,2,154,25.0,436
JBH.AX,3,47,30.0,436
JBH.AX,4,20,35.0,436
S32.AX,1,147,20.0,416
S32.AX,2,176,25.0,416
S32.AX,3,73,30.0,416
S32.AX,4,20,35.0,416
QAN.AX,1,137,20.0,368
QAN.AX,2,166,25.0,368
QAN.AX,3,48,30.0,368
QAN.AX,4,17,35.0,368
WOR.AX,1,216,20.0,474
WOR.AX,2,174,25.0,474
WOR.AX,3,60,30.0,474
WOR.AX,4,24,35.0,474
SGP.AX,1,171,20.0,369
SGP.AX,2,135,25.0,369
SGP.AX,3,49,30.0,369
SGP.AX,4,14,35.0,369
IEL.AX,1,163,20.0,375
IEL.AX,2,149,25.0,375
IEL.AX,3,43,30.0,375
IEL.AX,4,20,35.0,375
SUL.AX,1,178,20.0,485
SUL.AX,2,199,25.0,485
SUL.AX,3,71,30.0,485
SUL.AX,4,37,35.0,485
BXB.AX,1,161,20.0,339
BXB.AX,2,126,25.0,339
BXB.AX,3,32,30.0,339
BXB.AX,4,20,35.0,339
AZJ.AX,1,122,20.0,231
AZJ.AX,2,84,25.0,231
AZJ.AX,3,18,30.0,231
AZJ.AX,4,7,35.0,231
TWE.AX,1,178,20.0,338
TWE.AX,2,111,25.0,338
TWE.AX,3,36,30.0,338
TWE.AX,4,13,35.0,338
SHL.AX,1,150,20.0,340
SHL.AX,2,144,25.0,340
SHL.AX,3,36,30.0,340
SHL.AX,4,10,35.0,340
BEN.AX,1,158,20.0,361
BEN.AX,2,151,25.0,361
BEN.AX,3,39,30.0,361
BEN.AX,4,13,35.0,361
EVN.AX,1,163,20.0,355
EVN.AX,2,134,25.0,355
EVN.AX,3,43,30.0,355
EVN.AX,4,15,35.0,355
PLS.AX,1,119,20.0,471
PLS.AX,2,223,25.0,471
PLS.AX,3,83,30.0,471
PLS.AX,4,46,35.0,471
CHC.AX,1,161,20.0,418
CHC.AX,2,184,25.0,418
CHC.AX,3,46,30.0,418
CHC.AX,4,27,35.0,418
IGO.AX,1,153,20.0,472
IGO.AX,2,223,25.0,472
IGO.AX,3,72,30.0,472
IGO.AX,4,24,35.0,472
ALD.AX,1,181,20.0,423
ALD.AX,2,154,25.0,423
ALD.AX,3,64,30.0,423
ALD.AX,4,24,35.0,423
TPG.AX,1,126,20.0,270
TPG.AX,2,105,25.0,270
TPG.AX,3,33,30.0,270
TPG.AX,4,6,35.0,270
AGL.AX,1,67,20.0,253
AGL.AX,2,133,25.0,253
AGL.AX,3,34,30.0,253
AGL.AX,4,19,35.0,253
ALX.AX,1,150,20.0,278
ALX.AX,2,89,25.0,278
ALX.AX,3,33,30.0,278
ALX.AX,4,6,35.0,278
WHC.AX,1,115,20.0,476
WHC.AX,2,242,25.0,476
WHC.AX,3,74,30.0,476
WHC.AX,4,45,35.0,476
SUN.AX,1,176,20.0,408
SUN.AX,2,154,25.0,408
SUN.AX,3,52,30.0,408
SUN.AX,4,26,35.0,408
NST.AX,1,105,20.0,312
NST.AX,2,143,25.0,312
NST.AX,3,48,30.0,312
NST.AX,4,16,35.0,312
NXT.AX,1,178,20.0,424
NXT.AX,2,176,25.0,424
NXT.AX,3,47,30.0,424
NXT.AX,4,23,35.0,424
PDN.AX,1,145,20.0,464
PDN.AX,2,208,25.0,464
PDN.AX,3,61,30.0,464
PDN.AX,4,50,35.0,464
