symbol,source,sector,industry,liquidity_tier,liquidity_score,ddv,fundamental_score,fundamental_percentage,fundamental_grade,market_cap_score,price_score,volume_score,roe_score,profit_margin_score,revenue_growth_score,earnings_growth_score,current_ratio_score,debt_to_equity_score,institutional_score,market_cap,price,volume,roe,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,debt_to_equity,quick_ratio,institutional_ownership,insider_ownership,pe_ratio,peg_ratio,currency
DUOL,IJH,Technology,Software - Application,TIER 2 - GOOD,88.99281073609906,310239832.5,130.0,86.66666666666667,A+,10.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,4603476480,98.05,2703528,38.134997999999996,39.905998,72.231,15.504999999999999,35.0,193.6,201.7,2.607,0.07497,2.394,0,0,11.441074,0,USD
CMM.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,54.288128474014286,31150219.154,130.0,86.66666666666667,A+,10.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,4411901952,9.66,1868203,25.784000000000002,35.852000000000004,59.955000000000005,53.628,62.8,157.4,189.3,3.536,0.019870000000000002,3.135,0,0,17.888887,0,AUD
GGP.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,58.39970297242092,38555989.05566666,130.0,86.66666666666667,A+,10.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,6217655808,9.24,2857645,47.873002,33.629,52.480000000000004,49.43,5797.2,484.0,876.2,2.479,0.01659,1.967,0,0,5.220339,0,AUD
MU,IVV,Technology,Semiconductors,TIER 2 - GOOD,77.09300203439197,7302398939.450001,125.0,83.33333333333334,A,5.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,476896165888,422.88,36103265,39.823002,41.486000000000004,58.437,67.624,196.3,756.0,770.8000000000001,2.897,0.14901999999999999,2.232,0,0,19.956583,0,USD
PLTR,IVV,Technology,Software - Infrastructure,TIER 2 - GOOD,76.16883428691864,8292191253.75,125.0,83.33333333333334,A,5.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,360377679872,150.68,47851381,25.983,36.310002000000004,82.366997,40.901002,70.0,647.6,670.4,7.11,0.03063,6.992,0,0,239.17459,0,USD
INCY,IVV,Healthcare,Biotechnology,TIER 2 - GOOD,72.5792462423462,221988044.25,125.0,83.33333333333334,A,10.0,5.0,5.0,20.0,15.0,20.0,25.0,15.0,10,0,18066534400,90.78,1864776,29.87,25.026,52.884995999999994,25.572001999999998,27.800000000000004,43.6,48.699999999999996,3.316,0.010629999999999999,3.039,0,0,14.162247,0,USD
EVN.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,68.28590499794832,92072699.452,125.0,83.33333333333334,A,10.0,5.0,5.0,20.0,15.0,25.0,25.0,12.0,8,0,23524747264,11.585,8035346,26.389000000000003,25.966,42.592999999999996,42.790002,37.5,107.0,110.00000000000001,1.859,0.26415,1.4,0,0,17.55303,0,AUD
NVDA,IVV,Technology,Semiconductors,TIER 2 - GOOD,84.66506450127505,34858605586.66667,125.0,83.33333333333334,A,5.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,4203063541760,172.93,174902596,101.485,55.603004,71.068,65.024,73.2,95.6,94.5,3.905,0.07255,3.141,0,0,35.291836,0,USD
SEZL,IJR,Financial Services,Credit Services,TIER 3 - ADEQUATE,63.52794002567688,58331197.583333336,122.0,81.33333333333333,A,10.0,5.0,5.0,20.0,15.0,25.0,25.0,15.0,2,0,2259227904,66.15,773367,103.343,29.566,73.175,60.821999999999996,32.2,66.8,68.30000000000001,3.92,0.8292499999999999,3.622,0,0,17.782259,0,USD
JHG,IJH,Financial Services,Asset Management,TIER 2 - GOOD,92.30047073969288,74671580.4,120.0,80.0,A,10.0,5.0,5.0,10.0,15.0,25.0,25.0,15.0,10,0,7770033152,50.43,2599443,16.203,26.342,65.912,42.668,61.3,244.60000000000002,231.0,4.18,0.08248,3.986,0,0,9.642447,0,USD
