timestamp,symbol,action,price,quantity,value,reason,portfolio_value,market_regime
2015-01-02 09:30:00-05:00,NST.AX,buy,1.5099999904632568,11589.0,17499.389889478683,"Conviction 4 | HIGH conviction: 40, trend: 90, vol: 0.3x",100000.0,NORMAL
2015-01-02 09:30:00-05:00,RMD.AX,buy,6.929999828338623,2525.0,17498.249566555023,"Conviction 4 | HIGH conviction: 40, trend: 100, vol: 0.3x",100000.0,NORMAL
2015-01-05 09:30:00-05:00,FPH.AX,buy,5.840000152587891,3058.0,17858.72046661377,"Conviction 4 | HIGH conviction: 40, trend: 100, vol: 0.3x",102066.60001266003,NORMAL
2015-01-05 09:30:00-05:00,PME.AX,buy,1.149999976158142,17750.0,20412.499576807022,"Conviction 5 | MAX conviction: 50, trend: 90, vol: 1.6x",102066.60001266003,NORMAL
2015-01-09 09:30:00-05:00,CPU.AX,buy,12.219042778015137,1253.0,15310.460600852966,"Conviction 3 | STANDARD conviction: 30, trend: 70, vol: 1.3x",102147.91920602322,NORMAL
2015-01-13 09:30:00-05:00,REA.AX,buy,45.779998779296875,263.0,12040.139678955078,"Conviction 2 | LOW conviction: 20, trend: 70, vol: 0.9x",106836.52403867245,NORMAL
2015-01-29 09:30:00-05:00,NST.AX,sell,1.850000023841858,11589.0,21439.65027630329,Trailing Stop | P&L: 22.5%,111227.50821328163,NORMAL
2015-01-30 09:30:00-05:00,NST.AX,buy,1.7949999570846558,11970.0,21486.14948630333,"Conviction 5 | MAX conviction: 45, trend: 70, vol: 1.8x",111227.50821328163,STRONG
2015-01-30 09:30:00-05:00,TNE.AX,buy,3.319999933242798,6471.0,21483.719568014145,"Conviction 1 | MINIMAL conviction: 15, trend: 80, vol: 0.7x",111227.50821328163,STRONG
2015-02-10 09:30:00-05:00,CPU.AX,sell,10.94168758392334,1253.0,13709.934542655945,Stop Loss | P&L: -10.5%,115190.6310095787,STRONG
2015-04-22 10:30:00-04:00,PME.AX,sell,1.725000023841858,17750.0,30618.750423192978,HOME RUN TARGET | P&L: 50.0%,131903.70917129517,STRONG
2015-04-23 10:30:00-04:00,PME.AX,buy,1.7000000476837158,7643.0,12993.10036444664,"Conviction 5 | MAX conviction: 75, trend: 100, vol: 2.1x",129933.28252887726,WEAK
2015-04-23 10:30:00-04:00,CPU.AX,buy,12.714141845703125,766.0,9739.032653808594,"Conviction 3 | STANDARD conviction: 30, trend: 90, vol: 0.8x",129933.28252887726,WEAK
2015-04-27 10:30:00-04:00,NST.AX,sell,2.1700000762939453,11970.0,25974.900913238525,Trailing Stop | P&L: 20.9%,127903.77187979221,WEAK
2015-05-04 10:30:00-04:00,RMD.AX,sell,8.460000038146973,2525.0,21361.500096321106,Trailing Stop | P&L: 22.1%,128388.49428641796,WEAK
2015-05-07 10:30:00-04:00,REA.AX,sell,42.220001220703125,263.0,11103.860321044922,Stop Loss | P&L: -7.8%,125637.06886780262,WEAK
2015-05-27 10:30:00-04:00,NST.AX,buy,2.369999885559082,8179.0,19384.229063987732,"Conviction 3 | STANDARD conviction: 30, trend: 70, vol: 1.9x",129230.59399473667,NORMAL
2015-06-04 10:30:00-04:00,NST.AX,sell,2.180000066757202,8179.0,17830.220546007156,Stop Loss | P&L: -8.0%,125567.46148097515,NORMAL
2015-06-09 10:30:00-04:00,NST.AX,buy,2.25,3450.0,7762.5,"Conviction 2 | LOW conviction: 20, trend: 80, vol: 1.0x",124208.54677808285,WEAK
2015-06-29 10:30:00-04:00,CPU.AX,sell,11.634825706481934,766.0,8912.276491165161,Stop Loss | P&L: -8.5%,123390.63057768345,WEAK
2015-07-17 10:30:00-04:00,REA.AX,buy,42.689998626708984,590.0,25187.0991897583,"Conviction 1 | MINIMAL conviction: 17, trend: 65, vol: 0.7x",126058.54030525684,STRONG
2015-07-20 10:30:00-04:00,NST.AX,sell,2.0299999713897705,3450.0,7003.499901294708,Stop Loss | P&L: -9.8%,127450.50256097317,STRONG
2015-07-20 10:30:00-04:00,CPU.AX,buy,12.446788787841797,2559.0,31851.33250808716,"Conviction 2 | LOW conviction: 25, trend: 60, vol: 1.6x",127450.50256097317,STRONG
2015-07-24 10:30:00-04:00,RMD.AX,buy,7.679999828338623,894.0,6865.919846534729,"Conviction 3 | STANDARD conviction: 27, trend: 75, vol: 1.2x",127484.97549784184,NORMAL
2015-08-04 10:30:00-04:00,PME.AX,sell,2.680000066757202,7643.0,20483.240510225296,HOME RUN TARGET | P&L: 57.6%,129311.23608911037,NORMAL
2015-08-05 10:30:00-04:00,PME.AX,buy,2.5999999046325684,7899.0,20537.399246692657,"Conviction 5 | MAX conviction: 65, trend: 100, vol: 1.8x",129497.26988089085,STRONG
2015-08-10 10:30:00-04:00,PME.AX,sell,2.109999895095825,7899.0,16666.889171361923,Stop Loss | P&L: -18.8%,126135.83934152126,STRONG
2015-08-11 10:30:00-04:00,CPU.AX,sell,10.496099472045898,2559.0,26859.518548965454,Stop Loss | P&L: -15.7%,121026.43673932552,STRONG
2015-08-24 10:30:00-04:00,RMD.AX,sell,6.96999979019165,894.0,6231.179812431335,Stop Loss | P&L: -9.2%,114327.4943176508,STRONG
2015-09-16 10:30:00-04:00,NST.AX,buy,2.2100000381469727,3419.0,7555.9901304244995,"Conviction 2 | LOW conviction: 20, trend: 70, vol: 0.6x",120910.51610004902,WEAK
2015-09-24 10:30:00-04:00,PME.AX,buy,2.4000000953674316,5108.0,12259.20048713684,"Conviction 5 | MAX conviction: 45, trend: 60, vol: 8.8x",122604.98614323139,WEAK
2015-10-16 10:30:00-04:00,RMD.AX,buy,7.730000019073486,2497.0,19301.810047626495,"Conviction 3 | STANDARD conviction: 27, trend: 65, vol: 1.3x",128696.35538160801,NORMAL
2015-10-29 10:30:00-04:00,NST.AX,sell,2.7200000286102295,3419.0,9299.680097818375,Trailing Stop | P&L: 23.1%,131302.4647601843,NORMAL
